time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-23T23:12:29.540Z,36.4681667,-121.0041667,9.21,1.38,md,18,84,0.04503,0.07,nc,nc72654711,2016-06-24T01:53:02.118Z,"27km NE of Greenfield, California",earthquake,0.31,0.87,0.217,18,reviewed,nc,nc
2016-06-23T23:11:45.710Z,34.1208333,-118.48,8.12,1.02,ml,11,122,0.02534,0.09,ci,ci37611416,2016-06-23T23:47:12.998Z,"4km SW of Sherman Oaks, CA",earthquake,0.39,0.43,0.13,6,reviewed,ci,ci
2016-06-23T23:11:02.000Z,60.2262,-141.2734,0,1.8,ml,,,,0.78,ak,ak13690025,2016-06-23T23:38:21.259Z,"66km ENE of Cape Yakataga, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-06-23T22:59:20.000Z,64.9627,-147.3389,0,1.1,ml,,,,0.53,ak,ak13690019,2016-06-23T23:38:22.465Z,"20km NNE of Badger, Alaska",earthquake,0.2,0.6,,,automatic,ak,ak
2016-06-23T22:28:55.220Z,6.8128,-73.0276,147.04,4.4,mb,,38,1.937,1.12,us,us200066cn,2016-06-23T23:05:26.876Z,"13km N of Aratoca, Colombia",earthquake,6.1,7.2,0.035,239,reviewed,us,us
2016-06-23T22:01:49.910Z,18.173,-104.6715,10,4.1,mb,,225,3.574,0.96,us,us200066cj,2016-06-23T22:39:38.182Z,"103km SSW of Manzanillo, Mexico",earthquake,12.3,2,0.069,57,reviewed,us,us
2016-06-23T21:55:09.000Z,60.3,-151.013,57.8,1.5,ml,,,,0.13,ak,ak13689448,2016-06-23T23:38:21.885Z,"17km ESE of Cohoe, Alaska",earthquake,0.5,1.3,,,reviewed,ak,ak
2016-06-23T21:53:59.000Z,63.6803,-148.6589,1.3,2.2,ml,,,,0.63,ak,ak13689439,2016-06-23T22:51:24.580Z,"24km SE of Healy, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-06-23T21:31:21.000Z,64.5373,-152.3404,15.9,1.1,ml,,,,0.21,ak,ak13689436,2016-06-23T22:06:22.993Z,"71km S of Tanana, Alaska",earthquake,0.6,0.6,,,automatic,ak,ak
2016-06-23T21:06:14.000Z,62.0505,-150.5929,2.5,1.3,ml,,,,0.14,ak,ak13688883,2016-06-23T22:06:22.353Z,"39km SW of Talkeetna, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-06-23T21:05:29.940Z,23.6145,123.3857,10,5.9,mwp,,19,0.915,1.26,us,us200066bv,2016-06-24T01:56:39.000Z,"102km SSE of Yonakuni, Japan",earthquake,5.6,1.8,0.026,193,reviewed,us,us
2016-06-23T21:04:28.360Z,38.8206667,-122.809,3.35,1.2,md,43,63,0.002851,0.05,nc,nc72654701,2016-06-23T23:35:03.157Z,"6km NW of The Geysers, California",earthquake,0.16,0.23,0.207,13,reviewed,nc,nc
2016-06-23T20:57:23.460Z,38.8325,-122.7931667,2.26,1.15,md,42,40,0.006299,0.05,nc,nc72654696,2016-06-23T23:23:03.113Z,"6km W of Cobb, California",earthquake,0.11,0.18,0.196,11,reviewed,nc,nc
2016-06-23T20:50:21.360Z,32.9246667,-115.807,8,1.41,ml,25,42,0.02122,0.17,ci,ci37611336,2016-06-23T23:54:46.874Z,"21km SW of Westmorland, CA",earthquake,0.25,0.41,0.218,23,reviewed,ci,ci
2016-06-23T20:48:22.690Z,49.1418333,-122.1176667,-0.72,1.25,md,4,292,0.1163,0.07,uw,uw61172696,2016-06-23T22:21:58.900Z,"13km NE of Abbotsford, Canada",explosion,1.82,31.61,0.351,2,reviewed,uw,uw
2016-06-23T20:42:03.220Z,36.5166,-98.9766,6.31,2.8,mb_lg,,148,0.123,0.29,us,us200066bl,2016-06-23T21:24:54.037Z,"22km ENE of Mooreland, Oklahoma",earthquake,2.9,5,0.083,38,reviewed,us,us
2016-06-23T20:40:50.470Z,38.829,-122.8558333,2.39,1.36,md,44,62,0.001664,0.06,nc,nc72654691,2016-06-24T01:45:04.102Z,"10km WNW of The Geysers, California",earthquake,0.12,0.19,0.145,13,reviewed,nc,nc
2016-06-23T20:10:22.310Z,45.733,-121.419,-1.18,1.84,ml,5,270,0.2795,0.08,uw,uw61172681,2016-06-23T22:20:19.980Z,"5km E of White Salmon, Washington",explosion,1.03,31.61,0.37,5,reviewed,uw,uw
2016-06-23T20:06:17.070Z,36.1808333,-117.8548333,7.6,1.14,ml,19,79,0.1512,0.11,ci,ci37611304,2016-06-23T23:25:46.737Z,"17km NNE of Coso Junction, CA",earthquake,0.23,1.03,0.273,13,reviewed,ci,ci
2016-06-23T19:35:58.000Z,61.5616,-147.0843,138.3,1.6,ml,,,,0.67,ak,ak13688340,2016-06-23T20:37:48.204Z,"62km NW of Valdez, Alaska",earthquake,1.2,0.9,,,automatic,ak,ak
2016-06-23T19:32:32.000Z,63.5301,-147.856,1.7,1.2,ml,,,,0.15,ak,ak13688337,2016-06-23T20:37:47.561Z,"56km ENE of Cantwell, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-06-23T19:30:38.000Z,61.4663,-151.1431,15.1,1,ml,,,,0.15,ak,ak13688336,2016-06-23T20:37:41.945Z,"63km W of Big Lake, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-06-23T19:30:08.000Z,61.8058,-154.2384,1.3,1.4,ml,,,,0.73,ak,ak13688335,2016-06-23T20:37:41.269Z,"146km SSE of McGrath, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-06-23T19:27:08.630Z,36.894,-121.6163333,-0.1,1.11,md,12,127,0.02173,0.14,nc,nc72654681,2016-06-23T22:42:44.730Z,"1km SE of Quarry near Aromas, CA",quarry blast,0.32,31.61,0.535,9,reviewed,nc,nc
2016-06-23T19:24:55.000Z,60.1614,-141.3912,1.2,1.6,ml,,,,0.84,ak,ak13688329,2016-06-23T20:37:43.177Z,"58km E of Cape Yakataga, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-06-23T19:05:49.760Z,-55.5282,-26.9994,10.59,4.8,mb,,68,5.615,0.55,us,us200066bb,2016-06-23T20:21:10.087Z,"131km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.2,5.3,0.097,33,reviewed,us,us
2016-06-23T19:01:05.190Z,37.6025,-118.8616667,2.52,1.05,md,19,94,0.0165,0.03,nc,nc72654676,2016-06-23T21:35:02.961Z,"11km ESE of Mammoth Lakes, California",earthquake,0.24,0.4,0.277,14,reviewed,nc,nc
2016-06-23T18:56:38.310Z,32.9665,-115.5665,7.84,1.67,ml,21,70,0.06503,0.15,ci,ci37611272,2016-06-24T00:00:31.462Z,"4km WSW of Brawley, CA",earthquake,0.2,0.42,0.16,37,reviewed,ci,ci
2016-06-23T18:55:52.850Z,35.058,-118.3406667,-1.01,1.31,ml,18,44,0.06725,0.15,ci,ci37611264,2016-06-23T23:37:10.684Z,"13km SE of Tehachapi, CA",quarry blast,0.37,31.61,0.142,23,reviewed,ci,ci
2016-06-23T18:45:37.090Z,37.3221667,-122.1006667,-0.29,1.22,md,16,127,0.01337,0.04,nc,nc72654671,2016-06-23T22:39:44.694Z,"11km E of Quarry near Portola Valley, CA",quarry blast,0.17,31.61,0.181,10,reviewed,nc,nc
2016-06-23T18:22:30.460Z,35.6834,-97.4172,3.6,2,mb_lg,,35,0.102,0.29,us,us200066b1,2016-06-23T21:22:16.346Z,"6km ENE of Edmond, Oklahoma",earthquake,0.9,4.1,0.17,9,reviewed,us,us
2016-06-23T18:21:58.810Z,47.9461667,-119.769,12.32,1.34,ml,7,99,0.03896,0.12,uw,uw61172641,2016-06-23T19:15:14.740Z,"10km SW of Bridgeport, Washington",earthquake,0.38,0.71,0.275,4,reviewed,uw,uw
2016-06-23T18:16:16.000Z,60.2597,-141.2072,0,1.8,ml,,,,0.96,ak,ak13688325,2016-06-23T18:58:19.033Z,"71km ENE of Cape Yakataga, Alaska",earthquake,0.5,51.9,,,automatic,ak,ak
2016-06-23T18:05:51.320Z,37.5016667,-118.6556667,10.61,1.55,md,30,63,0.05432,0.04,nc,nc72654656,2016-06-23T20:18:02.588Z,"23km NW of West Bishop, California",earthquake,0.22,0.6,0.221,27,reviewed,nc,nc
