,q1,q2,q3,q4,q5,q6,gender,region
242,2,1,2,1,1,4,2,9
243,3,1,3,1,4,4,1,6
244,2,0,2,2,3,3,2,6
245,0,0,1,1,2,2,2,8
246,4,1,1,1,5,4,2,5
247,2,0,1,1,3,3,1,2
248,2,0,3,1,5,4,2,5
249,0,1,3,1,3,3,1,5
250,2,0,3,1,5,5,2,1
251,0,0,1,2,3,3,1,1
252,2,0,3,1,3,3,1,3
253,0,1,1,1,4,1,2,8
254,1,0,2,1,5,1,2,4
255,0,1,1,2,2,2,1,1
256,1,0,3,2,2,2,2,3
257,1,0,1,1,3,2,1,8
258,1,0,3,1,5,4,2,1
259,3,0,3,2,4,4,2,3
260,1,0,3,1,4,4,1,8
261,1,0,3,1,4,2,1,8
262,0,1,1,1,5,3,1,1
263,1,1,3,1,4,5,2,4
264,3,1,3,2,3,4,1,6
265,1,0,1,1,4,2,1,1
266,3,0,1,1,4,4,2,7
267,1,0,1,1,4,2,1,5
268,3,1,3,1,5,3,1,9
269,1,1,1,1,4,2,2,9
270,1,0,2,1,5,2,2,4
271,3,1,3,1,5,4,2,4
272,2,0,3,1,4,5,1,1
273,2,1,2,1,4,3,1,6
274,1,0,2,1,1,5,1,4
275,1,0,2,1,1,4,2,6
276,2,0,3,1,4,3,1,9
277,1,1,3,1,1,1,2,8
278,1,1,3,1,5,5,2,1
279,2,1,1,1,5,4,1,8
280,1,0,1,1,4,4,1,8
281,4,1,2,2,4,2,1,6
282,2,0,3,1,5,1,1,1
283,2,1,3,1,4,2,1,3
284,1,0,1,1,4,2,1,5
285,3,1,3,1,3,2,1,2
286,1,0,1,1,4,3,2,8
287,3,0,1,1,2,3,1,9
288,2,0,3,2,3,3,1,6
289,4,1,3,2,4,5,1,4
290,3,1,1,1,4,2,1,9
291,1,0,2,1,4,5,2,5
292,2,1,3,1,3,3,1,7
293,3,0,3,1,4,4,2,0
294,3,0,1,1,4,2,1,1
295,1,0,1,1,5,2,2,3
296,1,0,3,1,4,4,1,7
297,3,0,3,1,4,3,2,6
298,2,1,3,1,5,5,1,8
299,3,0,1,1,3,3,1,8
300,3,0,3,1,5,5,1,8
301,2,1,1,1,1,1,1,1
302,1,0,1,1,3,3,1,1
303,1,0,1,1,2,2,1,1
304,1,1,1,1,4,4,2,9
305,3,0,3,2,4,2,1,1
306,3,1,3,2,5,1,1,6
307,2,1,2,2,1,1,2,9
308,3,1,1,1,3,4,1,1
309,1,1,1,1,4,5,1,9
310,3,1,1,1,2,4,2,9
311,1,1,2,1,3,3,1,6
312,1,0,1,1,4,2,2,9
313,1,0,1,1,4,4,1,8
314,1,1,1,1,4,4,1,2
315,1,0,2,2,5,4,2,5
316,2,0,2,1,3,2,1,0
317,1,1,1,1,3,3,2,8
318,1,0,1,1,5,4,1,3
319,1,0,1,1,4,5,1,4
320,2,0,3,1,4,5,2,6
321,4,1,3,1,4,4,1,9
322,2,0,1,1,3,4,1,9
323,0,0,1,1,3,2,2,7
324,4,1,2,1,5,1,1,1
325,0,1,1,1,3,3,2,3
326,3,1,3,2,5,4,1,6
327,1,0,1,1,2,2,1,1
328,2,0,3,1,5,2,1,3
329,2,0,1,1,5,5,2,3
330,3,0,1,1,4,3,1,2
331,2,1,3,1,4,4,1,3
332,3,0,2,1,5,1,1,6
333,2,1,1,1,4,2,1,5
334,2,1,1,1,5,4,2,1
335,0,1,1,1,2,2,1,6
336,3,1,3,2,4,4,1,6
337,1,0,3,1,3,2,2,7
338,1,0,3,1,2,2,1,7
339,2,1,1,1,2,2,1,3
340,1,0,1,1,4,2,1,1
341,1,1,3,1,4,2,2,6
342,2,0,1,1,5,5,1,5
343,3,1,1,1,4,3,1,1
344,1,0,3,1,3,2,1,3
345,2,0,3,1,5,3,1,7
346,1,1,3,1,4,4,2,9
347,3,0,3,1,5,3,1,7
348,1,0,3,1,4,3,2,3
349,2,0,1,1,2,2,1,3
350,2,0,1,1,4,3,1,2
351,2,1,3,1,1,1,1,1
352,3,1,3,1,5,5,2,3
353,2,0,1,1,4,3,1,1
354,2,1,3,1,5,2,1,3
355,1,0,1,1,5,3,2,5
